alr	Alanine racemase
hokC	Small toxic membrane polypeptide, multimeric; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
ggt	gamma-Glutamyltranspeptidase, glutathione metabolism; Ntn hydrolase; autocatalytic processing into two subunits; periplasmic
mnmG	5-methylaminomethyl-2-thiouridine modification at tRNA U34; cmnm(5) addition to tRNA-s(2)U34, forming (with prior MnmE action) tRNA-cmnm(5)s(2)U34, an intermediate in mnm(5)s(2)U34 synthesis; contains essential FAD-binding site (Yim, 2006)
rsmG	16S rRNA m(7)G527 methyltransferase, SAM-dependent; mutant has low level streptomycin resistance
glgA	Glycogen synthase
glgB	1,4-alpha-glucan branching enzyme; glycogen branching enzyme
glgC	Glucose-1-phosphate adenylyltransferase; ADP-glucose pyrophosphorylase
glgP	Glycogen phosphorylase; alpha-glucan phosphorylase
glgX	Glycogen debranching enzyme
glmS	Glucosamine-6-phosphate synthase; glucosamine--fructose-6-phosphate aminotransferase; C-terminal F6P-binding domain has isomerase activity
glnA	Glutamine synthase
glnB	PII regulatory protein for glutamine synthase; potent activator of NRII/GlnL/NtrB phosphatase and inhibitor of NRII autophosphorylation; activates adenylation of GlnA by GlnE
glnG	Nitrogen regulator I
glnH	Periplasmic glutamine-binding protein
glnL	Bifunctional protein kinase/phosphatase, nitrogen regulator II, NRII; homodimeric
glnP	Glutamine transport system permease protein GlnP
glnQ	Glutamine high-affinity transport system, ATP-binding protein
glnS	Glutamine--tRNA ligase
glpA	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) A subunit
glpB	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) B subunit; membrane anchor
glpC	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) C subunit
glpD	sn-Glycerol-3-phosphate dehydrogenase (aerobic); membrane-anchored
glpE	Thiosulfate:cyanide sulfurtransferase (rhodanese); in glpEGR operon, induced by glycerol
glpF	Aquaglyceroporin; glycerol facilitator
glpG	Rhomboid intramembrane serine protease; complements the phenotypic defects of P. stuartii aarA; mutant is slightly cefotaxime resistant
glpK	Glycerol kinase
glpQ	Glycerophosphodiester phosphodiesterase, periplasmic; tetrameric
glpR	Repressor of glp regulon, induced by glycerol phophate; tetrameric
glpT	sn-Glycerol-3-phosphate permease; fosfomycin sensitivity
gltA	Citrate synthase; hexameric
gltB	Glutamate synthase, large subunit
gltD	Glutamate synthase, small subunit
gltP	Proton-glutamate-aspartate transport protein
gltS	Glutamate permease; Na+/glutamate symporter
gltX	Glutamate--tRNA ligase
glyA	Serine hydroxymethyltransferase; binds Zn(II)
glyQ	Glycine--tRNA ligase, alpha-subunit
glyS	Glycine--tRNA ligase, beta-subunit
gnd	6-phosphogluconate dehydrogenase, decarboxylating
gor	Glutathione reductase, NADP+, FAD-binding
gpp	Guanosine pentaphosphatase and exopolyphosphatase
gpt	Guanine-xanthine phosphoribosyltransferase phosphotransferase
greA	Transcript cleavage factor
grpE	Nucleotide exchange factor for the DnaKJ chaperone; heat shock protein; mutant survives lambda induction; stimulates DnaK and HscC ATPase
grxA	Glutaredoxin 1
gshA	Glutamate--cysteine ligase; gamma-Glutamylcysteine synthase
gshB	Glutathione synthase; homotetrameric
guaA	GMP synthase
guaB	Inosine-5'-monophosphate (IMP) dehydrogenase
guaC	GMP reductase
gyrA	DNA gyrase, subunit A; nalidixic acid resistance; cold shock regulon
gyrB	DNA gyrase, subunit B; novobiocin, coumermycin resistance
hdhA	7-alpha-hydroxysteroid dehydrogenase
helD	ATP-dependent DNA Helicase IV
hemA	Glutamyl-tRNA reductase, hemin biosynthesis; neomycin sensitivity
hemB	5-aminolevulinate dehydratase; also known as porphobilinogen synthase; binds Zn(II)
hemC	Porphobilinogen deaminase; neomycin sensitivity
hemD	Uroporphyrinogen III cosynthase; neomycin sensitivity
hemH	Ferrochelatase
hemL	Glutamate-1-semialdehyde aminomutase
hemX	Uroporphyrinogen III methyltransferase
hemY	Member of uro (hemC) operon
hflC	Membrane bound protease complex, with FtsH and HflK; regulates lysogeny; non-essential
hflK	Membrane bound protease complex with FtsH and HflC; regulates lysogeny; non-essential
hflX	GTPase, stimulated by 50S subunit binding, function unknown
hfq	Global regulator of sRNA function; host factor for RNA phage Q beta replication; HF-I; DNA- and RNA-binding protein; RNA chaperone; multiple regulatory roles: destabilzes ompA mRNA, improves rpoS translation, sRNA DsrA co-factor; binds RNAP; ATPase
hha	Modulates hemolysin expression, in complex with H-NS; stimulates transposition events; induced by AI-2 pheromone; promotes conjugation and conjugation-induced biofilms
ihfA	Integration Host Factor (IHF), alpha subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator
ihfB	Integration Host Factor (IHF), beta subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator
hipB	Antitoxin of HipAB TA pair
hipA	Toxin of HipAB TA pair; probable role in cell division
hisA	1-(5'-phosphoribosyl)-5-[(5'-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
hisB	Imidazoleglycerolphosphate dehydratase/histidinol phosphatase; bifunctional enzyme; HAD21
hisC	Histidinol-phosphate aminotransferase
hisD	Histidinol dehydrogenase
hisF	Imidazole glycerol phosphate (IGP) synthase, cyclase subunit
hisG	ATP-phosphoribosyltransferase
hisH	Imidazole glycerol phosphate (IGP) synthase, amidotransferase
hisI	PR-ATP pyrophosphatase/PR-AMP cyclohydrolase, bifunctional
hisP	Histidine transport ATP-binding protein
hisS	Histidine--tRNA ligase
truA	tRNA pseudouridine synthase specific to U38, U39, U40; mutations derepress his operon attenuator
skp	Periplasmic molecular chaperone for outer membrane proteins; trimeric
hmp	Flavohemoglobin; nitric oxide dioxygenase; dihydropteridine reductase; GSNO and nitrite reductase; has alkylhydroperoxide reductase activity, possibly involved in the repair of lipid membrane oxidative damage
hns	DNA-binding global regulator H-NS; diverse mutant phenotypes affecting transcription, transposition, inversion, cryptic-gene expression; involved in chromosome organization; preferentially binds bent DNA; has N-terminal dimerization domain
hsdM	DNA methyltransferase M, host modification of foreign DNA
hsdR	Endonuclease R, host restriction of foreign DNA; Type I restriction enzyme; ClpXP-dependent degradation
hsdS	Specificity determinant for HsdM and HsdR
htpG	Heat shock chaperone, HSP90 family; has ATPase activity; binds RpoH; rpoH regulon; dimeric
htpX	Zinc metalloprotease HtpX, membrane-bound; cleaves SecY in vivo and in vitro; self-cleaves; M48 family
degP	Periplasmic, membrane-associated serine endoprotease; protease Do, required for high-temperature growth and the degradation of damaged proteins
lpxL	Lipid A synthesis, KDO2-lipid IVA lauroyl-ACP acyltransferase; not under heat shock regulation; membrane protein affecting cell division, growth, and high-temperature survival
ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase; riboflavin biosynthesis; acid-inducible; homodimeric
hupA	Histone-like protein HU-alpha, HU-2
hupB	Histone-like protein HU-beta, HU-1
hyaA	Hydrogenase 1 small subunit [NiFe], periplasmic
hyaB	Hydrogenase 1 large subunit [NiFe], periplasmic
hyaC	Possible membrane-spanning protein of hya operon
hyaD	Processing of HyaA and HyaB
hyaE	Processing of HyaA and HyaB
hyaF	Nickel incorporation into hydrogenase 1 ssubunits
hycA	Regulatory gene for hyc and hyp operons; counteracts activation by FhlA
hycB	Formate hydrogenlyase complex iron-sulfur protein
hycC	Formate hydrogenlyase complex inner membrane protein
hycD	Formate hydrogenlyase complex inner membrane protein
hycE	Hydrogenase 3 large subunit, [NiFe] cluster; heterodimer
hycF	Formate hydrogenlyase complex iron-sulfur protein
hycG	Hydrogenase 3 small subunit
hycH	Required for converting HycE precursor to mature Hyd-3 large subunit
zraR	Two component response regulator for zraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein
hypA	Hydrogenase 3 accessory protein required for activity
hypB	Required for metallocenter assembly in Hydrogenases 1,2,3; guanine-nucleotide-binding protein; Ni donor for Hyd-3 large subunit; homodimeric
hypC	Hydrogenase 3 chaperone-type protein; required for Hyd-3 metallocenter assembly, binds HycE subunit
hypD	Hydrogenases 1,2,3 accessory protein; required for metallocenter assembly
hypE	Hydrogenases 1,2,3 accessory protein, carbamoyl dehydratase; required for CN ligand synthesis at the metallocenter; converts thiocarbamate at its C-terminal Cys to a thiocyanate
iap	Alkaline phosphatase isozyme conversion aminopeptidase; generates alkaline phosphatase isozyme 3 subunit lacking the N-terminal Arg
icd	Isocitrate dehydrogenase, NADP+-specific; e14 attachment site
argP	Arginine and lysine responsive transcriptional regulator; inhibitor of chromosome initiation; positive regulator of argK, negative autoregulator in presence of arginine; oriC iteron (13-mer) binding protein, competes with DnaA for iteron binding; activate
iclR	Repressor of aceBA operon
ileS	Isoleucine--tRNA ligase
ilvA	Threonine deaminase; also known as threonine dehydratase, biosynthetic
ilvB	Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; large subunit
ilvC	Ketol-acid reductoisomerase
ilvD	Dihydroxyacid dehydratase; homodimeric
ilvE	Branched-chain amino acid aminotransferase; transaminase B; dimer of trimers
ilvH	Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; small subunit
ilvI	Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; large subunit
ilvM	Acetohydroxy acid synthase II (AHAS-II); acetolactate synthase II (ALS-II); valine insensitive; small subunit
ilvN	Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; small subunit
ilvY	Activator of ilvC transcription
infA	Protein chain initiation factor IF1
infB	Protein chain initiation factor IF2
infC	Protein chain initiation factor IF3; unusual AUU start codon
intD	Integrase gene within defective prophage DLP12
ispA	Farnesyl diphosphate synthase, isoprenoid biosynthesis
katE	Catalase hydroperoxidase II, heme d-containing; response to oxidative stress; chromate resistance
rpoS	RNA polymerase subunit, stress and stationary phase sigma S; Sigma38
katG	Catalase-hydrogen peroxidase I
kbl	2-amino-3-ketobutyrate CoA ligase
kdpA	Potassium-translocating ATPase, A subunit; high-affinity potassium transport
kdpB	Potassium-translocating ATPase, B subunit; high-affinity potassium transport
kdpC	Potassium-translocating ATPase, C subunit; high-affinity potassium transport
kdpD	Sensor kinase for the kdp operon; has autokinase activity and KdpE-directed phosphotransferase and phosphatase activities; dimeric
kdpE	Response regulator of kdp operon, phosphorylation state and activity determined by turgor pressure via KdpD
kdsA	3-deoxy-D-manno-octulosonate 8-phosphate (KDO8-P) synthase; LPS biosynthesis
kdsB	3-deoxy-manno-octulosonate cytidylyltransferase; CMP-KDO synthase (CKS); LPS biosynthesis
waaA	3-deoxy-D-manno-octulosonate(Kdo)-lipid A transferase
kefC	NEM-activatable K+/H+ antiporter
kgtP	alpha-Ketoglutarate permease
rsmA	16S rRNA dimethyladenosine transferase, SAM-dependent; methylates A1518 and A1519; S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase; mutant is kasugamycin resistant; multicopy suppressor of era(Cs)
lacA	Thiogalactoside acetyltransferase
lacI	Transcriptional repressor of lac operon
lacY	Lactose permease; galactoside permease
lacZ	beta-D-Galactosidase
lamB	Maltoporin, maltose high-affinity uptake system; phage lambda receptor protein
lepA	Back-translocating Elongation Factor EF4, GTPase; required for efficient and accurate protein synthesis
lepB	Signal peptidase I; SPI; responsible for type I signal cleavages of periplasmic, OM, some IM, and extracellular proteins
leuO	Pleiotropic transcriptional regulator; regulates dsrA; relieves bgl silencing, multi-copy represses cadC
leuS	Leucine--tRNA ligase
lexA	Global regulator (repressor) for SOS regulon; dimeric
ligA	DNA ligase A, NAD(+)-dependent
lit	Cell death peptidase, expression of T4 late genes; e14 prophage
livF	High-affinity branched-chain amino acid transport, ATP-binding membrane protein
livG	High-affinity branched-chain amino acid transport, ATP-binding membrane protein
livH	High-affinity branched-chain amino acid permease; ABC transporter
livJ	Leu/Ile/Val-binding protein, periplasmic, high-affinity transport; LIV-I system; also involved in phenylalanine accumulation
livK	Leucine-specific binding protein, periplasmic, high-affinity transport for leucine; LS system; also involved in isoleucine, valine, and phenylalanine accumulation
livM	High-affinity branched-chain amino acid transport, permease membrane protein
lon	DNA-binding, ATP-dependent protease LA; lon mutants form long cells
lpd	Lipoamide dehydrogenase, NADH-dependent; E3 component of pyruvate and 2-oxoglutarate dehydrogenase complexes; also functions as glycine cleavage system L protein; binds Zn(II)
lpp	Murein lipoprotein; Braun's lipoprotein
lpxA	Lipid A synthesis, UDP-N-acetylglucosamine acyltransferase
lpxB	Lipid A disaccharide synthase
lrp	Global regulatory protein, Leu responsive; regulator of high-affinity branched-chain amino acid transport system; octameric or hexadecameric functional state
lspA	Prolipoprotein signal peptidase; signal peptidase II; SPII
lysA	Diaminopimelate decarboxylase
lysC	Aspartokinase III
lysR	Transcriptional activator of lysA gene; auto-repressor
lysS	Lysine--tRNA ligase, constitutive
lysU	Lysine--tRNA ligase, heat inducible; Ap4A and Ap3A synthase
malE	Maltose-binding protein, periplasmic; MBP; substrate recognition for active transport of and chemotaxis toward maltose and maltodextrin
malF	Maltose transport complex, inner membrane-spanning subunit
malG	Maltose transport complex, inner membrane-spanning subunit
malI	Maltose regulon regulatory protein
malK	Maltose transport complex, ATP-binding subunit
malM	Periplasmic protein in malK operon, function unknown
malP	Maltodextrin phosphorylase
malQ	Amylomaltase
malT	ATP-dependent transcriptional activator for the mal regulon
malX	PTS enzyme II homolog; malI regulated
malY	Antagonist of MalT transcriptional activator of maltose regulon, binds MalT in absence of maltotriose; cysteine desulfhydrase
malZ	Maltodextrin glucosidase
manA	Mannosephosphate isomerase
manX	Mannose permease, EIIAB component; phosphotransferase system
manY	Mannose permease, EIIC component; phosphotransferase system
manZ	Mannose permease, EIID component; phosphotransferase system
map	Methionine aminopeptidase
mazE	MazE antitoxin, toxin is MazF
mazG	Nucleoside triphosphate pyrophosphohydrolase, non-specific; binds Era
mcrA	5-methylcytosine-specific DNA binding protein; restriction endonuclease B homolog, e14; prophage gene
mcrB	McrBC restriction endonuclease, catalytic subunit; 5-methylcytosine-specific; requires GTP, inhibited by ATP
mcrC	McrBC restriction endonuclease, specificity subunit; 5-methylcytosine-specific; requires GTP, inhibited by ATP
